%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1660199455295457746,0,1.877913236618042,-2.972224712371826,0.05367809534072876,0.05964053422212601,-0.021591586992144585,0.0037284952122718096,0.0,0.0
1660199455305400761,0,1.8779406547546387,-2.972254514694214,0.05377815663814545,0.05870010331273079,-0.021717071533203125,0.01295994408428669,0.0,0.0
1660199455315489060,0,1.8779491186141968,-2.9723265171051025,0.0536959134042263,0.05895136296749115,-0.022343860939145088,0.009292887523770332,0.0,0.0
1660199455325299257,0,1.8782477378845215,-2.9724440574645996,0.05371139198541641,0.05940621718764305,-0.022706901654601097,0.00273618521168828,0.0,0.0
1660199455335457286,0,1.8782638311386108,-2.9724974632263184,0.05364369601011276,0.05944732576608658,-0.0223147664219141,-0.006377816200256348,0.0,0.0
1660199455345407043,0,1.8779714107513428,-2.97247052192688,0.05353759974241257,0.05866917595267296,-0.02320127561688423,-0.008759493939578533,0.0,0.0
1660199455355460154,0,1.877983808517456,-2.972527265548706,0.05344178527593613,0.05928419530391693,-0.0233443733304739,-0.013945325277745724,0.0,0.0
1660199455365367449,0,1.8780103921890259,-2.9725871086120605,0.053339842706918716,0.05900825932621956,-0.023040857166051865,-0.016248852014541626,0.0,0.0
1660199455375420708,0,1.8780231475830078,-2.9726338386535645,0.05333602428436279,0.05856484919786453,-0.023807356134057045,-0.011161882430315018,0.0,0.0
1660199455385482281,0,1.8780136108398438,-2.972665548324585,0.053378619253635406,0.05911574885249138,-0.02354673482477665,-0.003888751147314906,0.0,0.0
1660199455395648831,0,1.8780131340026855,-2.972710371017456,0.05362224206328392,0.059136610478162766,-0.023129168897867203,0.014071280136704445,0.0,0.0
1660199455405370152,0,1.8780208826065063,-2.972761631011963,0.05370069667696953,0.058369629085063934,-0.02406284399330616,0.018969623371958733,0.0,0.0
1660199455415334685,0,1.8780314922332764,-2.9728124141693115,0.053642816841602325,0.05882716551423073,-0.024433763697743416,0.014026540331542492,0.0,0.0
1660199455425414350,0,1.8780564069747925,-2.9728753566741943,0.053438831120729446,0.05935780704021454,-0.024191386997699738,-0.008030091412365437,0.0,0.0
1660199455435431616,0,1.878067970275879,-2.9729363918304443,0.05328977108001709,0.05886589363217354,-0.02448491007089615,-0.02091206982731819,0.0,0.0
1660199455445501968,0,1.8783677816390991,-2.973065137863159,0.05328992381691933,0.05903823301196098,-0.025278830900788307,-0.018741577863693237,0.0,0.0
1660199455455465905,0,1.878360390663147,-2.973125696182251,0.05361813306808472,0.06041846424341202,-0.024170028045773506,0.008063764311373234,0.0,0.0
