,X,Y,Psi,vx,vy,r,throttle,steering,dvx,dvy,dr
6885,-3.144858088153918,1.57480795749903,0.16840303824235256,2.2476812684103065,-0.09765771012712288,-0.6117769537025534,0.1659999936819076,0.0529999993741512,1.9400335678177187,4.828446070502984,73.38434625525535
6886,-3.1227097121924348,1.5780468927433526,0.1620446915012429,2.2518561872614935,-0.09582572104008574,-0.6085968879932805,0.163000002503395,0.0340000018477439,0.3634808482952101,0.15949841689365873,0.2768659758051016
6887,-3.1010763427339056,1.5810507828497862,0.1561405834294464,2.2464334130463914,-0.09638612075632963,-0.5295013659773551,0.1589999943971634,0.0189999993890523,-0.638185915440325,-0.0659513362971303,9.308454699143997
6888,-3.0788718510662,1.5839930968744278,0.15036086548626076,2.2487169179383892,-0.08926244343103765,-0.4896289011237597,0.1560000032186508,0.0099999997764825,0.2136652548662942,0.6665553188117358,3.7308264129171076
6889,-3.057346983572531,1.586778078176631,0.14514510685344448,2.245969912658379,-0.08809598844377628,-0.2689331358656551,0.1560000032186508,0.0099999997764825,-0.2710908717168328,0.11511273808471728,21.779574951459292
6890,-3.0355069939452046,1.5895572623803822,0.1405496516981799,2.24528928331885,-0.07403702067905557,-0.28674765654173645,0.152999997138977,0.003000000026077,-0.0686676071681405,1.418386807017304,-1.7972785430021037
6891,-3.013708448447021,1.5922877107621167,0.13674302951371317,2.240417796035156,-0.07166270407402878,-0.6891564133987278,0.1500000059604644,0.0,-0.22856226866925128,0.11139907756723129,-18.880365080182393
6892,-2.991625002897257,1.5948018448411898,0.13383492397684757,2.249746125179779,-0.06376418537279305,-0.2808774613950396,0.1500000059604644,0.0,4.388858087753888,3.716150786036005,192.08996089014653
6893,-2.970698408031727,1.59765339543987,0.13130993812390424,2.2404094525372584,-0.060981838741588634,-0.1684323515067337,0.1430000066757202,0.0,-1.619603253981599,0.48264492396156894,19.505499747311855
6894,-2.9489992786785435,1.600439698327672,0.12937701919905795,2.2443928020193087,-0.054531941978134935,-0.17252060052074092,0.1430000066757202,0.0,0.3960615154999048,0.6413085014163897,-0.40649159897345527
